date,datatype,station,attributes,value
2022-01-01T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",116
2022-01-02T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",114
2022-01-03T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",14
2022-01-04T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",-27
2022-01-05T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",32
2022-01-06T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",49
2022-01-07T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",7
2022-01-08T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",-25
2022-01-09T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",14
2022-01-10T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",16
2022-01-11T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",-54
2022-01-12T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",-19
2022-01-13T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",40
2022-01-14T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",48
2022-01-15T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",-67
2022-01-16T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",-80
2022-01-17T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",39
2022-01-18T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",18
2022-01-19T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",32
2022-01-20T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",51
2022-01-21T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",-60
2022-01-22T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",-59
2022-01-23T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",-7
2022-01-24T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",-2
2022-01-25T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",36
2022-01-26T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",-23
2022-01-27T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",-42
2022-01-28T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",1
2022-01-29T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",-48
2022-01-30T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",-71
2022-01-31T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",-34
2022-02-01T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",-17
2022-02-02T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",23
2022-02-03T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",64
2022-02-04T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",58
2022-02-05T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",-28
2022-02-06T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",-48
2022-02-07T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",5
2022-02-08T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",41
2022-02-09T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",28
2022-02-10T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",63
2022-02-11T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",86
2022-02-12T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",118
2022-02-13T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",28
2022-02-14T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",-43
2022-02-15T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",-47
2022-02-16T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",16
2022-02-17T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",116
2022-02-18T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",99
2022-02-19T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",1
2022-02-20T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",-26
2022-02-21T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",41
2022-02-22T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",56
2022-02-23T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",144
2022-02-24T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",11
2022-02-25T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",8
2022-02-26T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",-11
2022-02-27T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",24
2022-02-28T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",8
2022-03-01T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",26
2022-03-02T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",77
2022-03-03T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",56
2022-03-04T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",-19
2022-03-05T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",31
2022-03-06T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",96
2022-03-07T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",182
2022-03-08T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",87
2022-03-09T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",32
2022-03-10T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",40
2022-03-11T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",72
2022-03-12T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",51
2022-03-13T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",-23
2022-03-14T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",53
2022-03-15T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",116
2022-03-16T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",136
2022-03-17T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",82
2022-03-18T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",139
2022-03-19T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",131
2022-03-20T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",143
2022-03-21T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",104
2022-03-22T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",107
2022-03-23T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",72
2022-03-24T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",57
2022-03-25T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",96
2022-03-26T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",104
2022-03-27T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",59
2022-03-28T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",-15
2022-03-29T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",-12
2022-03-30T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",26
2022-03-31T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",99
2022-04-01T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",131
2022-04-02T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",72
2022-04-03T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",70
2022-04-04T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",76
2022-04-05T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",97
2022-04-06T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",86
2022-04-07T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",91
2022-04-08T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",128
2022-04-09T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",114
2022-04-10T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",86
2022-04-11T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",88
2022-04-12T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",134
2022-04-13T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",154
2022-04-14T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",163
2022-04-15T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",157
2022-04-16T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",157
2022-04-17T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",83
2022-04-18T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",79
2022-04-19T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",76
2022-04-20T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",94
2022-04-21T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",106
2022-04-22T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",146
2022-04-23T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",133
2022-04-24T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",128
2022-04-25T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",104
2022-04-26T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",115
2022-04-27T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",116
2022-04-28T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",82
2022-04-29T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",104
2022-04-30T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",129
2022-05-01T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",136
2022-05-02T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",121
2022-05-03T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",124
2022-05-04T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",120
2022-05-05T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",172
2022-05-06T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",148
2022-05-07T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",100
2022-05-08T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",104
2022-05-09T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",135
2022-05-10T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",154
2022-05-11T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",161
2022-05-12T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",171
2022-05-13T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",160
2022-05-14T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",179
2022-05-15T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",188
2022-05-16T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",204
2022-05-17T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",197
2022-05-18T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",178
2022-05-19T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",155
2022-05-20T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",154
2022-05-21T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",212
2022-05-22T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",278
2022-05-23T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",210
2022-05-24T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",174
2022-05-25T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",162
2022-05-26T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",164
2022-05-27T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",202
2022-05-28T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",204
2022-05-29T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",207
2022-05-30T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",233
2022-05-31T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",283
2022-06-01T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",178
2022-06-02T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",203
2022-06-03T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",195
2022-06-04T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",219
2022-06-05T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",200
2022-06-06T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",222
2022-06-07T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",218
2022-06-08T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",237
2022-06-09T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",244
2022-06-10T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",218
2022-06-11T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",218
2022-06-12T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",205
2022-06-13T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",242
2022-06-14T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",239
2022-06-15T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",233
2022-06-16T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",203
2022-06-17T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",252
2022-06-18T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",217
2022-06-19T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",173
2022-06-20T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",205
2022-06-21T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",221
2022-06-22T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",191
2022-06-23T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",192
2022-06-24T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",219
2022-06-25T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",258
2022-06-26T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",270
2022-06-27T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",243
2022-06-28T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",224
2022-06-29T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",239
2022-06-30T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",254
2022-07-01T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",281
2022-07-02T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",287
2022-07-03T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",269
2022-07-04T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",256
2022-07-05T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",259
2022-07-06T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",260
2022-07-07T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",242
2022-07-08T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",235
2022-07-09T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",247
2022-07-10T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",234
2022-07-11T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",240
2022-07-12T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",258
2022-07-13T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",289
2022-07-14T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",266
2022-07-15T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",261
2022-07-16T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",243
2022-07-17T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",257
2022-07-18T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",262
2022-07-19T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",282
2022-07-20T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",313
2022-07-21T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",298
2022-07-22T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",309
2022-07-23T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",303
2022-07-24T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",311
