date,avgTemp
2022-01-01,11.6
2022-01-02,11.4
2022-01-03,1.4
2022-01-04,-2.7
2022-01-05,3.2
2022-01-06,4.9
2022-01-07,0.7
2022-01-08,-2.5
2022-01-09,1.4
2022-01-10,1.6
2022-01-11,-5.4
2022-01-12,-1.9
2022-01-13,4.0
2022-01-14,4.8
2022-01-15,-6.7
2022-01-16,-8.0
2022-01-17,3.9
2022-01-18,1.8
2022-01-19,3.2
2022-01-20,5.1
2022-01-21,-6.0
2022-01-22,-5.9
2022-01-23,-0.7
2022-01-24,-0.2
2022-01-25,3.6
2022-01-26,-2.3
2022-01-27,-4.2
2022-01-28,0.1
2022-01-29,-4.8
2022-01-30,-7.1
2022-01-31,-3.4
2022-02-01,-1.7
2022-02-02,2.3
2022-02-03,6.4
2022-02-04,5.8
2022-02-05,-2.8
2022-02-06,-4.8
2022-02-07,0.5
2022-02-08,4.1
2022-02-09,2.8
2022-02-10,6.3
2022-02-11,8.6
2022-02-12,11.8
2022-02-13,2.8
2022-02-14,-4.3
2022-02-15,-4.7
2022-02-16,1.6
2022-02-17,11.6
2022-02-18,9.9
2022-02-19,0.1
2022-02-20,-2.6
2022-02-21,4.1
2022-02-22,5.6
2022-02-23,14.4
2022-02-24,1.1
2022-02-25,0.8
2022-02-26,-1.1
2022-02-27,2.4
2022-02-28,0.8
2022-03-01,2.6
2022-03-02,7.7
2022-03-03,5.6
2022-03-04,-1.9
2022-03-05,3.1
2022-03-06,9.6
2022-03-07,18.2
2022-03-08,8.7
2022-03-09,3.2
2022-03-10,4.0
2022-03-11,7.2
2022-03-12,5.1
2022-03-13,-2.3
2022-03-14,5.3
2022-03-15,11.6
2022-03-16,13.6
2022-03-17,8.2
2022-03-18,13.9
2022-03-19,13.1
2022-03-20,14.3
2022-03-21,10.4
2022-03-22,10.7
2022-03-23,7.2
2022-03-24,5.7
2022-03-25,9.6
2022-03-26,10.4
2022-03-27,5.9
2022-03-28,-1.5
2022-03-29,-1.2
2022-03-30,2.6
2022-03-31,9.9
2022-04-01,13.1
2022-04-02,7.2
2022-04-03,7.0
2022-04-04,7.6
2022-04-05,9.7
2022-04-06,8.6
2022-04-07,9.1
2022-04-08,12.8
2022-04-09,11.4
2022-04-10,8.6
2022-04-11,8.8
2022-04-12,13.4
2022-04-13,15.4
2022-04-14,16.3
2022-04-15,15.7
2022-04-16,15.7
2022-04-17,8.3
2022-04-18,7.9
2022-04-19,7.6
2022-04-20,9.4
